r:NaN g:NaN b:NaN
bill sample-r:0.23333333 g:0.2087912 b:0.25274724
bill sample-r:0.23333333 g:0.2197802 b:0.24725275
bill sample-r:0.22222222 g:0.19780219 b:0.24725275
bill sample-r:0.22222222 g:0.19780219 b:0.24725275
bill sample-r:0.22222222 g:0.18681318 b:0.24725275
bill sample-r:0.22222222 g:0.18681318 b:0.25274724
bill sample-r:0.21111111 g:0.18681318 b:0.24175824
bill sample-r:0.22222222 g:0.19780219 b:0.24725275
bill sample-r:0.23333333 g:0.2087912 b:0.25274724
bill sample-r:0.22222222 g:0.19780219 b:0.24725275
bill sample-r:0.23333333 g:0.2087912 b:0.24725275
bill sample-r:0.21111111 g:0.18681318 b:0.23626374
bill sample-r:0.22222222 g:0.18681318 b:0.24175824
bill sample-r:0.22222222 g:0.19780219 b:0.23626374
bill sample-r:0.22222222 g:0.19780219 b:0.24175824
bill sample-r:0.22222222 g:0.19780219 b:0.24175824
bill sample-r:0.23333333 g:0.2087912 b:0.25274724
bill sample-r:0.24444444 g:0.2087912 b:0.25824174
bill sample-r:0.23333333 g:0.2087912 b:0.25274724
bill sample-r:0.22222222 g:0.19780219 b:0.24175824
bill sample-r:0.23333333 g:0.19780219 b:0.25274724
bill sample-r:0.23333333 g:0.19780219 b:0.25274724
bill sample-r:0.22222222 g:0.2087912 b:0.25274724
bill sample-r:0.23333333 g:0.2087912 b:0.25824174
bill sample-r:0.22222222 g:0.18681318 b:0.24725275
bill sample-r:0.23333333 g:0.2197802 b:0.24725275
bill sample-r:0.22222222 g:0.19780219 b:0.24725275
bill sample-r:0.22222222 g:0.19780219 b:0.24725275
bill sample-r:0.23333333 g:0.2087912 b:0.24725275
bill sample-r:0.22222222 g:0.19780219 b:0.24725275
avgDiff:0.03250819
Detected bill:ONE
r:0.23333333 g:0.19780219 b:0.25274724
r:0.22222222 g:0.2087912 b:0.25274724
r:0.23333333 g:0.2197802 b:0.26373625
r:0.23333333 g:0.2197802 b:0.25824174
r:0.23333333 g:0.2197802 b:0.25824174
r:0.45555556 g:0.2967033 b:0.62637365
r:0.93333334 g:0.93406594 b:0.89560443
r:0.95555556 g:0.989011 b:0.9120879
r:0.9444445 g:0.978022 b:0.89560443
